,ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Date of registration,Fuel consumption ,Electric range (km)
0,49946802,DE,IP-2019_4002-WME-1,MERCEDES-BENZ,MERCEDES-BENZ AG,MERCEDES-BENZ AG,,E1*2001/116*0413*43,451,53E5Y0,ZZBAA20B,SMART,EQ FORTWO COUPE,M1,M1,1,1095.0,1158.0,0.0,0.0,1873.0,1431.0,1471.0,ELECTRIC,E,,41.0,165.0,,,,,,P,2021,2021-02-23,,152.0
9,49946811,DE,IP-MLB49_Z_A0_0684-WAU-1,VW-SAIC,AUDI AG,AUDI AG,,E1*2001/116*0430*77,B8,A2DTNAF1,FD7FD7CK006RT011B17S54BIAEM1AD1,AUDI,A4 AVANT,M1,M1,1,1605.0,1754.0,,130.0,2826.0,1558.0,1565.0,DIESEL,H,1968.0,120.0,,,,,,,P,2021,2021-03-15,5.0,
108,49946910,DE,IP-MLB49_Z_B0_0694-WAU-1,VW-SAIC,AUDI AG,AUDI AG,,E1*2001/116*0430*77,B8,H2DTPAQ1,QD7AD7CJ003RT151E19S54BIBEM10D1,AUDI,A4 ALLROAD QUATTRO,M1,M1,1,1720.0,1908.0,,153.0,2828.0,1560.0,1572.0,DIESEL,H,1968.0,150.0,,,,,,,P,2021,2021-03-01,5.9,
109,49946911,DE,IP-02_01_2021_2205-W1V-1,,AA-IVA,AA-IVA,,E1*2007/46*0457*27,639/2,KOU4L320VXX,2GJRDX27BEXX,MERCEDES-BENZ,VITO TOURER,M1,M1,1,2032.0,2332.0,,190.0,3200.0,1646.0,1666.0,DIESEL,M,1950.0,120.0,,E1 29,,1.0,,,P,2021,2021-10-12,7.2,
120,49946922,DE,IP-MLB49_Z_A0_0616-WAU-1,VW-SAIC,AUDI AG,AUDI AG,,E1*2001/116*0430*77,B8,L2DMSBF1,FM6FM6DJ011RT011B17S54BIAEM10B1,AUDI,A4 LIMOUSINE,M1,M1,1,1510.0,1609.0,,139.0,2829.0,1558.0,1565.0,PETROL,H,1984.0,110.0,,,,,,,P,2021,2021-02-16,6.1,
453,49947255,DE,IP-MLB49_Z_B0_0665-WAU-1,VW-SAIC,AUDI AG,AUDI AG,,E1*2001/116*0430*77,B8,A2DMKCQ1,QA8QA8D5016RT111E18S54BIBEM10D2,AUDI,S4 AVANT,M1,M1,1,1910.0,2041.0,,191.0,2826.0,1558.0,1565.0,DIESEL,H,2967.0,251.0,,,,,,,P,2021,2021-03-17,7.3,
1109,49947911,DE,,,AA-IVA,AA-IVA,,,,,,"VOLKSWAGEN, VW",ATLAS CROSS SPORT,M1,M1,1,2031.0,,,,,,,PETROL,M,1984.0,175.0,,,,,,,P,2021,2021-07-01,,
1664,49948466,DE,IP-020120212205-W1V-1,,AA-IVA,AA-IVA,,,639/2,,,,,M1,M1,1,2474.0,2343.0,,190.0,3200.0,1666.0,1646.0,DIESEL,M,1950.0,120.0,,E1 29,,1.0,,,P,2021,2021-10-14,,
2219,49949021,DE,,,AA-IVA,AA-IVA,,,639/2,,,MERCEDES-BENZ,,M1,M1,1,2150.0,,,,,,,PETROL,M,1991.0,155.0,,,,,,,P,2021,2021-05-28,,
2220,49949022,DE,,,AA-IVA,AA-IVA,,,,,,"VOLKSWAGEN, VW",ATLAS,M1,M1,1,2094.0,,,280.0,,,,PETROL,M,1984.0,175.0,,,,,,,P,2021,2021-03-10,,
2541,49949343,DE,IP-MLB49_Z_A0_0613-WAU-1,VW-SAIC,AUDI AG,AUDI AG,,E1*2001/116*0430*78,B8,A2DRXAF1,FD7FD7CK005RT011B18S54BIAEM10C0,AUDI,A4 AVANT G-TRON,M1,M1,1,1665.0,1773.0,,123.0,2826.0,1558.0,1565.0,NG,M,1984.0,125.0,,,,,,,P,2021,2021-05-18,6.9,
2553,49949355,DE,,,AA-IVA,AA-IVA,,,639/2,,,MERCEDES-BENZ,EVITO,M1,M1,1,2650.0,,0.0,0.0,,,,ELECTRIC,E,,150.0,,,,,,,P,2021,2021-08-04,,
3198,52072883,DE,IP-V362_2019_00045-WF0-1,FORD,FORD WERKE GMBH,FORD WERKE GMBH,,E5*2007/46*1034*08,FAC,BKFA1EBX,S9AGCSAFCAWNE,FORD,TRANSIT CUSTOM,M1,M1,1,2135.0,2494.0,,219.0,3300.0,1734.0,1735.0,DIESEL,M,1995.0,96.0,,E5 29,,1.1,,,P,2021,2021-04-06,8.3,
3204,52072889,DE,IP-MQB37AZ_A0_0812-WAU-1,VW-SAIC,AUDI AG,AUDI AG,,E1*2007/46*1900*18,F3,SDFYAF1,FD7FD7GC008RT51A174BIAHA3EM10B2,AUDI,Q3 SPORTBACK,M1,M1,1,1605.0,1683.0,,147.0,2677.0,1582.0,1583.0,PETROL,H,1498.0,110.0,,,,,,,P,2021,2021-06-10,6.5,
3215,52072900,DE,IP-MQB37AZ_A0_0911-WAU-1,VW-SAIC,AUDI AG,AUDI AG,,E1*2007/46*1900*18,F3,XDGEAF1,FD6FD6DD002RT21A174BIAHA7EM90B3,AUDI,Q3 E-TRON,M1,M1,1,1815.0,1910.0,32.0,37.0,2677.0,1582.0,1583.0,PETROL/ELECTRIC,P,1395.0,110.0,162.0,,,,,,P,2021,2021-07-19,,61.0
3237,52072922,DE,IP-MQB37AZ_B0_0911-WAU-1,VW-SAIC,AUDI AG,AUDI AG,,E1*2007/46*1900*18,F3,SDGEAF1,FD6FD6DD002RT61C204BIBHA7EM90B3,AUDI,Q3 SPORTBACK E-TRON,M1,M1,1,1815.0,1946.0,38.0,44.0,2677.0,1582.0,1583.0,PETROL/ELECTRIC,P,1395.0,110.0,173.0,,,,,,P,2021,2021-08-06,,57.0
3248,52072933,DE,IP-MQB37AS_A2_0817-WAU-1,VW-SAIC,AUDI AG,AUDI AG,,E1*2007/46*1900*18,F3,XDTSBF1,FD7FD7GC009RT21C184BIAHA3EM1AD0,AUDI,Q3,M1,M1,1,1655.0,1769.0,,149.0,2677.0,1582.0,1583.0,DIESEL,M,1968.0,110.0,,E13 28 29,,1.8,,,P,2021,2021-05-25,5.7,
3282,52072967,DE,,,AA-IVA,AA-IVA,,,R2EW,,,MERCEDES-BENZ,E 400 D 4MATIC,M1,M1,1,2070.0,,,196.0,,,,DIESEL,H,2989.0,272.0,,,,,,,P,2021,2021-12-20,,
3393,52073078,DE,,,AA-IVA,AA-IVA,,,R2EW,,,MERCEDES-BENZ,E 180,M1,M1,1,1810.0,,,200.0,,,,PETROL,H,1999.0,125.0,,,,,,,P,2021,2021-12-13,,
3505,52073190,DE,,,AA-IVA,AA-IVA,,,CAMARO,SS,,CHEVROLET,CHEVROLET CAMARO,M1,M1,1,1722.0,,,296.0,,,,PETROL,M,6162.0,339.0,,,,,,,P,2021,2021-03-17,,
3689,52073374,DE,IP-U625_2019_00001-WF0-1,FORD,FORD WERKE GMBH,FORD WERKE GMBH,,E13*2007/46*2217*00,WUJ,BQWA4YX,7ABAZNAPDAB,FORD,EXPLORER,M1,M1,1,2541.0,2694.0,,71.0,3025.0,1704.0,1714.0,PETROL/ELECTRIC,P,2956.0,267.0,215.0,,,,,,P,2021,2021-04-29,,
3727,52073412,DE,,,AA-IVA,AA-IVA,,,R2EW,,,MERCEDES-BENZ,E 300,M1,M1,1,1875.0,,,212.0,,,,PETROL,H,1999.0,190.0,,,,,,,P,2021,2021-11-15,,
4391,52074078,DE,,,AA-IVA,AA-IVA,,,R2EW,,,MERCEDES-BENZ,E 200,M1,M1,1,1820.0,,,193.0,,,,PETROL,H,1999.0,150.0,,,,,,,P,2021,2021-10-27,,
5280,52074967,DE,,,AA-IVA,AA-IVA,,,R2EW,,,MERCEDES-BENZ,E 200 4MATIC,M1,M1,1,1895.0,,,199.0,,,,PETROL,H,1999.0,150.0,,,,,,,P,2021,2021-11-25,,
5724,52075411,DE,,,AA-IVA,AA-IVA,,,R2EW,,,MERCEDES-BENZ,E 300 E,M1,M1,1,2240.0,,,25.0,,,,PETROL/ELECTRIC,P,1999.0,150.0,,,,,,,P,2021,2021-11-03,,
5949,52075636,DE,IP-BX72_2019_00008-WF0-1,FORD,FORD WERKE GMBH,FORD WERKE GMBH,,E9*2007/46*3165*06,J2K,BZJA12X,5CCPTNAXNCC,FORD,PUMA,M1,M1,1,1280.0,1397.0,,135.0,2588.0,1562.0,1518.0,PETROL,H,999.0,114.0,,E9 32 37,,2.1,,,P,2021,2021-06-28,,
6166,52075853,DE,,,AA-IVA,AA-IVA,,,R2EW,,,MERCEDES-BENZ,E 400 4MATIC,M1,M1,1,2290.0,,,27.0,,,,PETROL/ELECTRIC,P,1999.0,185.0,,,,,,,P,2021,2021-11-25,,
6497,52076184,DE,,,AA-IVA,AA-IVA,,,R2EW,,,MERCEDES-BENZ,E 300 E 4MATIC,M1,M1,1,2290.0,,,27.0,,,,PETROL/ELECTRIC,P,1999.0,150.0,,,,,,,P,2021,2021-12-17,,
6607,52076294,DE,,,AA-IVA,AA-IVA,,,R2EW,,,MERCEDES-BENZ,E 450 4MATIC,M1,M1,1,1995.0,,,225.0,,,,PETROL,H,2999.0,280.0,,,,,,,P,2021,2021-11-03,,
